source	pIssn	eIssn	linkIssn	title	publisher	correctPublisher	urls	uniqueId	medlineTA	majMeshList	author	language	country
NLM	0065-9002		0065-9002	The American journal of orthopedic surgery.	A.J.O.S	AJOS		7611912	Am J Orthop Surg	Orthopedics	Texas Orthopedic Association	eng	United States
NLM	0008-8102		0008-8102	Medical service.	Catholic Hospital Association of India	Catholic Hospital Association of India		0221461	Med Serv	Catholicism|Medicine	Catholic Hospital Association of India	eng	India
NLM	1105-204X		1105-204X	Orthodontikē epitheōrēsē : epiotēmoniko periodiko tēs Orthodontikēs Etaireias tēs Ellados	Orthodontike Etaireia Ellados (Greek Orthodontic Society)	Orthodontike Etaireia Ellados (Greek Orthodontic Society		9108787	Orthod Epitheorese	Orthodontics	Orthodontikē Hetaireia Hellados	gre	Greece
NLM				Majallat Niqābat Attibā' al-Asnān al-Urdunīyah.	Jordanian Dental Association	Jordanian Dental Association		7507213	Majallat Niqabat Attiba Alasnnan Alurduniyah	Dentistry	Niqābat Attibā' al-Asnān al-Urdunīyah	eng	Jordan
NLM	0350-1043		0350-1043	Bilten Udruz̆enja ortodonata Jugoslavije = Bulletin of Orthodontic Society of Yugoslavia.	Udruz̆enje ortodonata Saveza lekarskih drus̆tava Jugoslavije	Udruz̆enje ortodonata Saveza lekarskih drus̆tava Jugoslavije		9005846	Bilt Udruz Ortodonata Jugosl	Orthodontics	Udruz̆enje ortodonata Jugoslavije	hrv	Serbia
NLM	0125-0078		0125-0078	Thai journal of nursing.	Samākom Phayābān hāeng Prathēt Thai	Samākom Phayābān hāeng Prathēt Thai		7605750	Thai J Nurs	Nursing	Nurses' Association of Thailand	eng	Thailand
NLM	0125-0035		0125-0035	Chot mai hēt kān phayābān.	Samākom Phayābān hāeng Prathēt Thai	Samākom Phayābān hāeng Prathēt Thai		7605561	Chot Mai Het Kan Phayaban	Nursing	Nurses' Association of Thailand	eng	Thailand
NLM	1080-3548		1080-3548	International journal of occupational safety and ergonomics : JOSE.	Central Institute for Labor Protection, National Research Institute	Central Institute for Labor Protection National Research Institute	http://www.ciop.pl/757.html	9507598	Int J Occup Saf Ergon	Human Engineering|Occupational Health	Central Institute for Labour Protection	eng	Poland
NLM	1047-0719		1047-0719	Focus : a guide to AIDS research.	Aids Health Project, University of California, San Francisco	Aids Health Project University of California San Francisco	http://www.ucsf-ahp.org/HTML2/archivesearch.html	8911231	Focus	Acquired Immunodeficiency Syndrome	AIDS Health Project	eng	United States
NLM	0080-0228		0080-0228	Revista do Instituto de Antibióticos, Universidade Federal de Pernambuco.	Instituto De Antibioticos	Instituto De Antibioticos		7507483	Rev Inst Antibiot (Recife)	Anti-Bacterial Agents	Universidade Federal de Pernambuco. Instituto de Antibióticos	por	Brazil
NLM	0098-180X		0098-180X	Hospital infection control.	Hospital Infection Control	Hospital Infection Control		7507137	Hosp Infect Control			eng	United States
NLM	0161-8717		0161-8717	APIC.	Assn. for Practitioners in Infection Control	Association for Practitioners in Infection Control		7804271	APIC	Hospitals|Medical Staff, Hospital	Association for Practitioners in Infection Control	eng	United States
NLM	0302-1688		0302-1688	Origins of life.	Reidel	Reidel		0420542	Orig Life	Biological Evolution|Molecular Biology	International Society for the Study of the Origin of Life	eng	Netherlands
NLM	0038-6286		0038-6286	Space life sciences.	Reidel	Reidel		0422620	Space Life Sci	Extraterrestrial Environment|Space Flight		eng	Netherlands
NLM	1063-1356		1063-1356	Review	Patient Focused Care Association	Patient Focused Care Association		9601257	Rev Patient Focus Care Assoc	Patient-Centered Care		eng	United States
NLM	0013-0907		0013-0907	Edinburgh Dental Hospital gazette.	Edinburgh Dental Hospital	Edinburgh Dental Hospital		7506567	Edinb Dent Hosp Gaz	Dentistry	Edinburgh Dental Hospital and School	eng	Scotland
NLM				Scientific review.	Vaudens, Switzerland	Vaudens Switzerland		17220170R	Guigoz Sci Rev	Nutritional Physiological Phenomena	Guigoz (Firm)	eng	Switzerland
NLM	0899-8957		0899-8957	Hospital guest relations report.	St. Anthony Hospital Publications	St Anthony Hospital		8802247	Hosp Guest Relations Rep	Consumer Satisfaction|Hospital Administration|Professional-Patient Relations		eng	United States
NLM	0037-7635		0037-7635	Social action.	Council for Social Action of the Congregational Christian Churches	Council for Social Action of the Congregational Christian Churches		20810050R	Soc Action (New York N Y)	Alcoholism	General Council of the Congregational and Christian Churches of the United States. Council for Social Action	eng	United States
NLM	1439-4456	1438-8871	1438-8871	Journal of medical Internet research	JMIR Publications	JMIR	http://www.jmir.org/ms/	100959882	J Med Internet Res	Information Services		eng	Canada
NLM	0009-8701		0009-8701	The Cleft palate journal.	American Cleft Palate Association	American Cleft Palate Association		0372737	Cleft Palate J	Cleft Lip|Cleft Palate	American Cleft Palate Association	eng	United States
NLM	0035-0257		0035-0257	Revista Odontologica; Facultad De Odontologia, Universidad Nacional De Cordoba.	Universidad Nacional De Cordoba. Facultad De Odontologia	Universidad Nacional De Cordoba Facultad De Odontologia		9875633	Rev Odontol (Cordoba)			spa	Argentina
NLM	1827-1987	1970-7096	1827-1987	Geospatial health.	University of Naples Federico II, Faculty of Veterinary Medicine, Department of Pathology and Animal Health	University of Naples Federico II Faculty of Veterinary Medicine Department of Pathology and Animal Health	http://www.geospatialhealth.unina.it/index.php	101302943	Geospat Health	Geographic Information Systems|Public Health	Global Network for Geospatial Health	eng	Italy
NLM				Healthy People 2000 statistical notes	U.S. Dept. of Health and Human Services, Public Health Service, Centers for Disease Control	US Department of Health and Human Public Health Service Centers for Disease Control		9315564	Healthy People 2000 Stat Notes	Health Status Indicators|Population Surveillance|Public Health	Healthy People 2000 (Group)	eng	United States
NLM				Healthy People 2000 statistics and surveillance	U.S. Dept. of Health and Human Services, Public Health Service, Centers for Disease Control	US Department of Health and Human Public Health Service Centers for Disease Control		9315565	Healthy People 2000 Stat Surveill	Population Surveillance|Public Health	Healthy People 2000 (Group)	eng	United States
