seqType	mutType	patName	pat
prot	sub	MF_PPOS WRES----MRES	{sep}{pos} {origAaLong}----{mutAaLong}
prot	sub	MF_WRES-PPOS with MRES	{sep}{origAaLong}-{pos} with {mutAaLong}
prot	sub	MF_PPOSWRES-->MRES	{sep}{pos}{origAaLong}-->{mutAaLong}
prot	sub	MF_WRES to MRES at position PPOS	{sep}{origAaLong} to {mutAaLong} at position {pos}
prot	sub	MF_WRES PPOS with MRES	{sep}{origAaLong} {pos} with {mutAaLong}
prot	sub	MF_WRES PPOS by MRES	{sep}{origAaLong} {pos} by {mutAaLong}
prot	sub	MF_MRES for WRES-PPOS	{sep}{mutAaLong} for {origAaLong}-{pos}
prot	sub	MF_WRES-PPOS --> MRES	{sep}{origAaLong}-{pos} --> {mutAaLong}
prot	sub	MF_MRES for WRESPPOS	{sep}{mutAaLong} for {origAaLong}{pos}
prot	sub	MF_WRES PPOS-->MRES	{sep}{origAaLong} {pos}-->{mutAaLong}
prot	sub	MF_WRESPPOS MRES	{sep}{origAaLong}{pos} {mutAaLong}
prot	sub	MF_WRES(PPOS)-->MRES	{sep}{origAaLong}\({pos}\)-->{mutAaLong}
prot	sub	MF_WRES-PPOSMRES	{sep}{origAaLong}-{pos}{mutAaLong}
